province,gdp_pc_pp,pop,pov_head,shew,gdp_pc_pp_nat,rel_gdp_pp,share1,axfin_p,axfin_r,social_p,social_r,fap,far,v_p,v_r,protection,avg_prod_k,T_rebuild_K,pi,nat_buyout,sigma_r,sigma_p,income_elast,rho,protectionref,gdp_pc_pp_ref,v_s,macro_multiplier,cp,cr,v_shew,v_shew_shared,tot_p,tot_r,dK,delta_W,dcap,dcar,dKtot,deltaW_nat,equivalent_cost,risk,total_equivalent_cost,resilience,risk_to_assets
Abra,133.68800000000005,240135.244121424,0.3735946,0.953416149068323,184.13668452934704,0.726025888549619,0.374005146310813,0.6932331886926442,0.6932331886926442,0.4086826623388601,0.4086826623388601,0.22270927520596065,0.17633509660464333,0.15246328506889598,0.10000000000000002,10.57,0.23,3.0000000000000004,0.20000000000000004,0.29999999999999993,0.3333333333333329,0.3333333333333329,1.5000000000000002,0.05000000000000001,10.57,133.688,0.10000000000000002,1.1716611437469595,49.99999999999999,183.60038083962883,0.08093167701863355,0.056652173913043474,0.6057884415592399,0.6057884415592399,13.382728613313196,0.8693296530804885,12.23595794805469,30.298762721355583,3213664.8025687304,0.0009222885995507355,1.8400320741267269,0.013763629302007113,441856.55131167173,0.6880884854146858,0.009470594840227263
Agusan Del Norte,179.01400000000007,661728.4543751728,0.34671509999999994,0.821276595744681,184.136684529347,0.9721799893245578,0.27930776363859794,0.4968798969837159,0.4968798969837159,0.388003116567215,0.388003116567215,0.371583320246628,0.2973930403283469,0.36370003447777893,0.1,9.409999999999998,0.23,2.999999999999999,0.2,0.3,0.3333333333333329,0.3333333333333329,1.4999999999999996,0.05,9.409999999999998,179.01399999999998,0.1,1.1716611437469593,50.0,247.48504825383233,0.08357446808510638,0.058502127659574445,0.5920020777114765,0.5920020777114765,37.1207512341938,2.1715734586603923,29.757475186485372,47.77315345607989,24563857.339448355,0.007049570433506881,5.174257321968103,0.02890420482179105,3423953.3002053737,0.7623933690997177,0.022036374095233582
Agusan Del Sur,126.49199999999988,677779.6821543599,0.4807850999999999,0.8212765957446811,184.13668452934704,0.686946223254281,0.395281915061822,0.4759689147517249,0.4759689147517249,0.3880031165672149,0.3880031165672149,0.139710440043128,0.104613024935837,0.29016559336794495,0.1,8.61,0.23,2.9999999999999987,0.2,0.29999999999999993,0.33333333333333287,0.33333333333333287,1.4999999999999993,0.05,8.61,126.49199999999999,0.1,1.1716611437469593,49.99999999999994,197.3224285358528,0.08357446808510637,0.058502127659574445,0.5920020777114765,0.5920020777114765,10.62236902086323,0.8862433368564714,22.560851383080415,32.36200396000998,7199625.898687002,0.002066217417171911,2.305774001666126,0.018228615261566945,1562806.7699690533,0.535058780289657,0.009753380648223437
Apayao,158.73200000000003,116022.67639003899,0.6136667,0.9534161490683228,184.13668452934698,0.8620335508142699,0.3149963460423859,0.26127970091747793,0.26127970091747793,0.40868266233885997,0.40868266233885997,0.0046,0.0030469368806675494,0.13193916176321796,0.1,6.509999999999998,0.22999999999999998,2.999999999999999,0.2,0.29999999999999993,0.3333333333333329,0.3333333333333329,1.4999999999999996,0.05,6.509999999999998,158.73199999999997,0.1,1.1716611437469593,50.00000000000002,331.44609848542706,0.08093167701863355,0.056652173913043474,0.6057884415592398,0.6057884415592398,0.289735172950154,0.01989863410199177,9.185218662228575,46.12687949904037,33615.85021000771,9.647397819604349e-06,0.06834525066868237,0.00043057008459971766,7929.598901128631,0.6511962502828165,0.0002803856245752912
Batangas,219.2720000000004,2485002.05546474,0.1903506,1.1172069825436397,184.13668452934704,1.19081105734286,0.22802729030610394,0.6010536034553409,0.6010536034553409,0.362780034735979,0.362780034735979,0.0026450000000000006,0.0022188896366748395,0.23035679084086202,0.10000000000000002,7.730000000000001,0.23000000000000004,2.9999999999999996,0.20000000000000004,0.3000000000000001,0.3333333333333329,0.3333333333333329,1.4999999999999998,0.05000000000000001,7.730000000000001,219.272,0.10000000000000002,1.1716611437469595,50.00000000000013,259.0682707848612,0.07765586034912719,0.05435910224438905,0.5751866898239858,0.5751866898239858,0.2524595548398179,0.008493463617924133,16.538187379450253,37.236693888944075,627362.5126986606,0.00018004648697859555,0.025076732726976973,0.00011436358826925906,62315.73237087769,1.3023909417527566,0.00014894610142822482
Bukidnon,145.74899999999997,1353046.8443075703,0.4900081000000001,0.854588796185936,184.13668452934704,0.7915261446817841,0.34305552696759506,0.4961985675783221,0.4961985675783221,0.33075477671231507,0.33075477671231507,0.029353107161292396,0.021845799395280956,0.22169420779163404,0.1,9.82,0.23000000000000007,3.0000000000000004,0.2,0.30000000000000004,0.33333333333333304,0.33333333333333304,1.5000000000000002,0.05,9.82,145.74900000000002,0.1,1.1716611437469595,50.0,237.7461191050289,0.0829082240762813,0.0580357568533969,0.55383651780821,0.55383651780821,2.1850257650106784,0.16236432328266634,18.032509415207368,38.962244021522736,2956442.216078433,0.0008484683744677307,0.37144805204928355,0.0025485461447370718,502586.61464947724,0.5990278160035881,0.0015266500310662126
Bulacan,253.2789999999999,3086241.8491950785,0.07308759999999999,1.0034516765285997,184.13668452934698,1.37549451727873,0.19741076046573094,0.601417335117009,0.601417335117009,0.38211843711843696,0.38211843711843696,0.012438488984290714,0.010688149247065695,0.41867313482619795,0.10439589725830899,6.509999999999998,0.22999999999999998,2.999999999999999,0.2,0.29999999999999993,0.3333333333333329,0.3333333333333329,1.4999999999999996,0.05,6.509999999999998,253.2789999999999,0.10439589725830899,1.1716611437469593,49.999999999999865,269.30767136139286,0.08344464963299746,0.05841125474309821,0.5880789580789577,0.5880789580789577,1.4772913553635487,0.036594888239349,30.060093731452394,40.67687414074057,4559278.404377104,0.001308465270477143,0.1301224415998585,0.0005137514029977162,401589.3247849259,1.7439457228761261,0.0008959545618794761
Cagayan,179.42399999999992,1153021.1959109101,0.19708330000000002,0.8958652373660029,184.13668452934704,0.974406596157671,0.27866952024255404,0.605970067589554,0.605970067589554,0.3396056851267091,0.3396056851267091,0.1316845306787241,0.1102922204527598,0.29463311596193703,0.1,9.34,0.23000000000000004,2.9999999999999987,0.2,0.3,0.333333333333333,0.333333333333333,1.4999999999999993,0.05,9.34,179.42399999999998,0.1,1.1716611437469593,49.999999999999986,211.19231297592873,0.08208269525267993,0.05745788667687595,0.559737123417806,0.559737123417806,11.484191937742366,0.5330418905540184,24.067294629614562,36.43995365504027,13241516.72212613,0.0038001769628085514,1.2845624431008678,0.007159367994810437,1481127.724366403,0.9571904253330848,0.006852878496068677
Camarines Sur,152.07400000000004,1881962.89125995,0.41163000000000005,0.8,184.136684529347,0.825875628143848,0.328787300919289,0.6135891390932301,0.6135891390932301,0.403793944470449,0.403793944470449,0.12291488309189068,0.09566608377264599,0.338661767479629,0.1,15.36,0.22999999999999998,3.0,0.2,0.3,0.333333333333333,0.333333333333333,1.5,0.05,15.36,152.07399999999998,0.1,1.1716611437469593,49.999999999999964,223.48607168958316,0.08400000000000002,0.0588,0.6025292963136324,0.6025292963136324,11.033084528124297,0.764492539368484,25.52729290566093,35.735292907070594,20763855.658064224,0.005959012072709816,1.1210100292684615,0.007371477236532619,2109699.275813475,0.6407612378233289,0.004723356878667134
Capiz,177.38600000000002,733558.367597268,0.2776401,0.823002754820937,184.136684529347,0.963338730972583,0.2818711735988181,0.593455555845053,0.593455555845053,0.432902672615501,0.432902672615501,0.15504580917991653,0.12704956185947203,0.3753696118683201,0.13063852224195,15.94,0.22999999999999998,3.0,0.2,0.29999999999999993,0.33333333333333304,0.33333333333333304,1.5,0.05,15.94,177.38599999999997,0.13063852224195,1.1716611437469593,49.99999999999995,226.34699822069308,0.10913534950377776,0.07639474465264443,0.6219351150770006,0.6219351150770006,18.273424075986906,0.8968971662355949,27.37425232138658,46.54549983291575,13404623.13559357,0.0038469883633632566,1.2628986969033424,0.0071194947566512725,926409.9065411327,0.9077434020706834,0.006462674391427018
