description, Average income in the province,Population,Poverty incidence,Access to early warning,National GDP per capita, Average income of the province,Relative income of poor families,Access to finance for poor people,Access to finance for non-poor people,Social protection for poor people,Social protection for non-poor people,"Exposure, poor people","Exposure, non-poor people",Asset vulnerability (poor people),Asset vulnerability (non-poor people), Hazard (protection),Productivity of capital,Time to reconstruct,Avoided losses with early warning,Risk transferred nationally,Effective scale up for non-poor people,Effective scale up for poor people,Elasticity of utility,Discount rate
variable,gdp_pc_pp,pop,pov_head,shew,gdp_pc_pp_nat,rel_gdp_pp,share1,axfin_p,axfin_r,social_p,social_r,fap,far,v_p,v_r,protection,avg_prod_k,T_rebuild_K,pi,nat_buyout,sigma_r,sigma_p,income_elast,rho
province,,,,,,,,,,,,,,,,,,,,,,,,
Abra,133.688,240135.24412142442,0.3735946,0.953416149068323,184.13668452934704,0.7260258885496186,0.3740051463108133,0.6932331886926442,0.6932331886926442,0.40868266233885986,0.40868266233885986,0.188715,0.14941936174400797,0.15246328506889553,0.10000000000000003,10.57,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Agusan Del Norte,179.014,661728.4543751733,0.3467151,0.8212765957446808,184.13668452934704,0.9721799893245575,0.2793077636385981,0.4968798969837158,0.4968798969837158,0.3880031165672152,0.3880031165672152,0.36569999999999997,0.29268438307697,0.3637000344777793,0.09999999999999999,9.41,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Agusan Del Sur,126.492,677779.6821543596,0.4807851,0.8212765957446808,184.13668452934704,0.6869462232542813,0.3952819150618221,0.4759689147517253,0.4759689147517253,0.3880031165672152,0.3880031165672152,0.13179,0.09868232146458046,0.2901655933679449,0.1,8.61,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Aklan,119.962,554414.4424224466,0.2496618,0.8230027548209367,184.13668452934704,0.6514834363756609,0.4167986529067538,0.6600833201585975,0.6600833201585975,0.4329026726155009,0.4329026726155009,,,0.38941913250678173,0.13508922358323605,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Albay,158.629,1264097.8949656591,0.4095874,0.8,184.13668452934704,0.8614741837318043,0.31520087751924303,0.5513143587672175,0.5513143587672175,0.4037939444704491,0.4037939444704491,,,0.33985196650980837,0.1,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Antique,124.667,561980.4717788459,0.3089693,0.8230027548209367,184.13668452934704,0.6770351074727373,0.40106844634105254,0.4378504624318344,0.4378504624318344,0.4329026726155009,0.4329026726155009,,,0.36265724968817825,0.12522704108926402,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Apayao,158.732,116022.67639003936,0.6136667,0.953416149068323,184.13668452934704,0.8620335508142696,0.3149963460423859,0.2612797009174785,0.2612797009174785,0.40868266233885986,0.40868266233885986,0.0046,0.003046936880667548,0.13193916176321774,0.10000000000000003,6.51,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Aurora,175.235,207219.48354646814,0.3083171,1.0034516765285997,184.13668452934704,0.9516571912212947,0.2853311267726196,0.5733582638249974,0.5733582638249974,0.3821184371184371,0.3821184371184371,,,0.18875818527994576,0.1,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
