Province,gdp_pc_pp,pop,plgp,unemp,bashs,pov_head,shew,ophe,gdp_pc_pp_nat,rel_gdp_pp,share1,axfin_p,axfin_r,social_p,social_r,axhealth,fa,pe,v,pv,v_s,avg_prod_k,T_rebuild_K,pi,nat_buyout,sigma_r,sigma_p,income_elast,protection,peref,faref,share1_ref,gdp_pc_pp_ref,pov_head_ref,macro_multiplier,cp,cr,v_shew,v_shew_shared,v_p,v_r,tot_p,tot_r,fap,far,delta_W,dW_noupscale,dW_no_transfers,dKpc,dcap,dcar,dKtot,dWsurWprime,deltaW_nat,equivalent_cost,risk,total_equivalent_cost,total_equivalent_cost_of_nat_buyout,resilience,resilience_no_shock,resilience_no_shock_no_uspcale,resilience_no_shock_no_SP,risk_to_assets
Abra,133.68800000000005,240135.244121424,0.8827,0.165,0.857720119098256,0.3735946,0.953416149068323,0.0314139693356048,184.136684529347,0.726025888549619,0.374005146310813,0.693233188692644,0.693233188692644,0.40868266233886,0.40868266233886,0.0155752077661686,0.1641,0.2,0.10950644695217,0.392276795680242,0.08865056222735743,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,10.57,0.2,0.1641,0.374005146310813,133.688,0.3735946,1.1716611437469593,49.999999999999986,183.60038083962885,0.0886254039619115,0.062037782773338046,0.08637376541077,0.050222470687933375,0.6057884415592398,0.6057884415592398,0.19691999999999998,0.14452581565867728,0.5756684171428788,0.6197587274218677,0.7133888652242604,7.158381161145535,8.70449317580608,19.314248888316968,1718979.6076458856,12.86553300282981,0.0004933293894636325,1.218217441098414,0.009112391845927936,292536.9426111441,250.6947871314164,0.5559234824424671,0.5563998910555069,0.5168169973415566,0.4489863245646594,0.0050657926083686
Agusan Del Norte,179.01400000000007,661728.454375173,0.7075,0.21,0.921444550974752,0.3467151,0.821276595744681,0.0345634443107367,184.136684529347,0.972179989324558,0.279307763638598,0.496879896983716,0.496879896983716,0.388003116567215,0.388003116567215,0.00944795977367715,0.318,0.2,0.133182518667908,1.73083913801533,0.0695291381533064,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,9.41,0.2,0.318,0.279307763638598,179.014,0.3467151,1.1716611437469593,50.0,247.4850482538324,0.11130658155905163,0.07791460709133613,0.2127722584681075,0.04067602516304922,0.5920020777114765,0.5920020777114765,0.3816,0.2842458441026266,1.4754882809611445,1.8695411575790786,2.6395983093570976,20.35329119178321,20.86949534293831,25.222445699231002,13468351.921786526,32.975481385984615,0.0038652778666499674,3.513482034095514,0.019626856190552214,2324971.0358969634,6090.633996632491,0.6156122956944893,0.617224990699722,0.4871292813222111,0.3450177389739289,0.012082533996731447
Agusan Del Sur,126.49199999999992,677779.68215436,0.6871,0.21,0.727441562600064,0.4807851,0.821276595744681,0.0345634443107367,184.136684529347,0.686946223254281,0.395281915061822,0.475968914751725,0.475968914751725,0.388003116567215,0.388003116567215,0.0285129880369057,0.1146,0.2,0.148837590719599,0.949545084444416,0.022853801504630806,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,8.61,0.2,0.1146,0.395281915061822,126.492,0.4807851,1.1716611437469593,49.99999999999995,197.3224285358528,0.12439022475459253,0.08707315732821477,0.1697530458562764,0.013369960131304837,0.5920020777114765,0.5920020777114765,0.13751999999999998,0.09337642861944064,0.44240716414060444,0.6185832034170744,0.9607840456446866,4.280055492848423,15.292905844930946,5.313974084746465,2900934.651545827,9.887295883259489,0.0008325382768681523,1.150511285117161,0.009095526081626988,779793.1731417137,1467.443832972429,0.4320712461740177,0.4328843339355433,0.30959639628008684,0.19932796703427155,0.003929915288696853
Apayao,158.73200000000006,116022.676390039,0.6813,0.165,0.814191960623462,0.6136667,0.953416149068323,0.0314139693356048,184.136684529347,0.86203355081427,0.314996346042386,0.261279700917478,0.261279700917478,0.40868266233886,0.40868266233886,0.0198596540018699,0.004,0.2,0.109469423963759,0.20526040044659,0.08060392321244104,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,6.51,0.2,0.004,0.314996346042386,158.732,0.6136667,1.1716611437469593,50.000000000000036,331.446098485427,0.08859544063650807,0.06201680844555564,0.07474640338150987,0.045663874759048116,0.6057884415592398,0.6057884415592398,0.0048,0.002729249174223398,0.015102581415703753,0.01651487475464819,0.01951090518559795,0.16749758851739727,6.434494972389296,26.04982668445814,19433.518508665897,0.337525481415173,5.577219053889627e-06,0.051866378787153666,0.00032675439600807443,6017.676081545113,2.22226232577905,0.49606849121932833,0.49625168391765645,0.45381400527649035,0.38412781917359323,0.0001620925602270084
Batangas,219.2720000000004,2485002.05546474,0.833,0.175,0.819595915707148,0.1903506,1.11720698254364,0.0348488090058342,184.136684529347,1.19081105734286,0.228027290306104,0.601053603455341,0.601053603455341,0.362780034735979,0.362780034735979,0.0194685055057073,0.0023,0.2,0.107045526738571,1.15195158414647,0.09626245317099848,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,7.73,0.2,0.0023,0.228027290306104,219.272,0.1903506,1.1716611437469593,50.00000000000013,259.06827078486117,0.08312712475409231,0.058188987327864615,0.12521988346007715,0.05232740534218018,0.5751866898239858,0.5751866898239858,0.00276,0.002191852848899783,0.00683983900671592,0.007531680152169429,0.008748215757805156,0.1698565046058708,11.582205162441733,25.113119304940987,422093.763079645,0.15286260606703653,0.0001211365495613166,0.02012546829028192,9.178312000748806e-05,50011.830068541014,885.7314515446141,1.0918342011384041,1.1111710638465875,1.0091016920630573,0.8687750046460606,0.00010021194951136601
Bukidnon,145.74899999999994,1353046.84430757,0.6064,0.312,0.680411034393335,0.4900081,0.854588796185936,0.0311973744053692,184.136684529347,0.791526144681784,0.343055526967595,0.496198567578322,0.496198567578322,0.330754776712315,0.330754776712315,0.0330202484501421,0.0239,0.2,0.128094862659222,0.730703348981439,0.05833492193901723,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,9.82,0.2,0.0239,0.343055526967595,145.749,0.4900081,1.1716611437469593,49.999999999999986,237.74611910502887,0.10620117576371252,0.07434082303459875,0.12866191139201658,0.033855113457146924,0.5538365178082099,0.5538365178082099,0.02868,0.019307302119896418,0.09927067203534534,0.12413962803111644,0.16171257606038125,1.053797061037245,12.596087411950588,15.987838398760909,1425836.787977036,2.2185863758560873,0.00040920042853260054,0.2268565722042784,0.0015564880184720199,306947.5691314313,1265.2586534409752,0.4730359303026767,0.4749858164213307,0.37983166174449673,0.29158005117546765,0.0007362747578228818
Bulacan,253.27899999999997,3086241.84919508,0.7961,0.099,0.949024614937048,0.0730876,1.0034516765286,0.0392761289644462,184.136684529347,1.37549451727873,0.197410760465731,0.601417335117009,0.601417335117009,0.382118437118437,0.382118437118437,0.00696123916463022,0.0101,0.2,0.109907026717499,2.80933910533618,0.10260578339563224,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,6.51,0.2,0.0101,0.197410760465731,253.279,0.0730876,1.1716611437469593,49.99999999999987,269.3076713613929,0.08784974867310939,0.06149482407117657,0.23425463811010153,0.057409656025159704,0.5880789580789578,0.5880789580789578,0.012119999999999999,0.009940721785575422,0.02781944004163961,0.030625829360360513,0.03606384383965633,0.9492827324302778,21.066000631047974,28.082769477248945,2929716.095544579,0.621732777615846,0.0008407982539688877,0.09839073122718528,0.00038846778148676075,303657.5922862444,9177.566946585566,1.4820416344995018,1.5268339817477297,1.3869229763209532,1.177790881017014,0.0005757254258250342
Cagayan,179.4239999999999,1153021.19591091,0.8599,0.121,0.886090814196242,0.1970833,0.895865237366003,0.0265938129353891,184.136684529347,0.974406596157671,0.278669520242554,0.605970067589554,0.605970067589554,0.339605685126709,0.339605685126709,0.0125691452482009,0.1017,0.2,0.113298270757977,1.60050849841583,0.09159833442501444,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,9.34,0.2,0.1017,0.278669520242554,179.424,0.1970833,1.1716611437469593,49.99999999999998,211.19231297592873,0.09299827431282644,0.0650987920189785,0.1692899618819582,0.052630467191830656,0.5597371234178059,0.5597371234178059,0.12204,0.09670735964017188,0.3643946829070046,0.41710994540699176,0.5007570323505206,6.625199759725361,16.984193385548764,23.89242958267441,7638995.750107209,8.14380584271691,0.00219231286558229,0.8771736120519887,0.004888830992799117,1011399.7671896766,6084.898671319878,0.8086610825559736,0.8135262416220723,0.7107110250347752,0.5919929580637352,0.003953407363070129
Camarines Sur,152.07400000000004,1881962.89125995,0.7832,0.346,0.603973444065942,0.41163,0.8,0.0325680981399525,184.136684529347,0.825875628143848,0.328787300919289,0.61358913909323,0.61358913909323,0.403793944470449,0.403793944470449,0.040586168913419,0.0897,0.2,0.142777797878846,1.37194978848881,0.04911788444864518,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,15.36,0.2,0.0897,0.328787300919289,152.074,0.41163,1.1716611437469593,49.999999999999964,223.48607168958316,0.11993335021823064,0.08395334515276144,0.19913311927802058,0.02888131605580336,0.6025292963136325,0.6025292963136325,0.10764,0.07714898244302056,0.3991562887786131,0.5254640157691028,0.7891243167468929,4.559906364534081,17.613633695854574,12.45887353111286,8581574.565673206,8.920688114272101,0.0024628232483327518,0.5843573832591132,0.00384258573628045,1099738.9105274193,6785.468830343981,0.5080262737253456,0.511160832675984,0.38829121465395783,0.25855629665683444,0.0019521345130727205
Capiz,177.38600000000002,733558.367597268,0.7674,0.188,0.796323586442255,0.2776401,0.823002754820937,0.0443184077590071,184.136684529347,0.963338730972583,0.281871173598818,0.593455555845053,0.593455555845053,0.432902672615501,0.432902672615501,0.0221322310263776,0.1211,0.2,0.154964182517938,1.42229917758491,0.11174090693658499,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,15.94,0.2,0.1211,0.281871173598818,177.386,0.2776401,1.1716611437469593,49.99999999999994,226.34699822069308,0.1294569926957705,0.09061989488703934,0.21950849685770638,0.06534380446270957,0.6219351150770005,0.6219351150770005,0.14532,0.11179100704233443,0.6072473702588468,0.7078414633870125,0.9470170616114046,10.168905818507127,19.32482657123845,28.782816166320863,7459485.952474449,13.571286612737273,0.002140795408088895,0.8543996831949926,0.004816612828492624,626752.0368801417,2209.5573373853103,0.7466633411298113,0.7492956348709889,0.6428103288053153,0.4804642094278838,0.003596388227451013
