province,hazard,fap,far
Abra,coast,0.0,0.0
Abra,river,0.188715,0.14941936174400797
Agusan Del Norte,coast,0.11441531009999999,0.09157116338851164
Agusan Del Norte,river,0.36569999999999997,0.29268438307697
Agusan Del Sur,coast,0.01168146885,0.008746903894333283
Agusan Del Sur,river,0.13179,0.09868232146458046
Aklan,coast,0.12786366999999998,0.10563653295699726
Aklan,river,0.0,0.0
Albay,coast,0.010690100999999999,0.008328428840564377
Albay,river,0.0,0.0
Antique,coast,0.07587113385,0.06155015672119806
Antique,river,0.0,0.0
Apayao,coast,0.0,0.0
Apayao,river,0.0046,0.003046936880667548
Aurora,coast,0.0341985068,0.02774948977211049
Aurora,river,0.0,0.0
Basilan,coast,0.0145840769,0.011606022919128543
Basilan,river,0.0,0.0
Bataan,coast,0.0073847617999999995,0.00634774303336173
Bataan,river,0.0,0.0
Batanes,coast,6.060499999999999e-05,4.8747500592874966e-05
Batanes,river,0.0,0.0
Batangas,coast,0.0057877453,0.004855337643056143
Batangas,river,0.0026449999999999998,0.0022188896366748373
Benguet,coast,0.0,0.0
Benguet,river,0.0,0.0
Biliran,coast,0.089746621,0.0736111031611134
Biliran,river,0.0,0.0
Bohol,coast,0.0442099721,0.035081975078441914
Bohol,river,0.0,0.0
Bukidnon,coast,0.00020075319999999998,0.0001494088551192284
Bukidnon,river,0.027485,0.020455476589922316
Bulacan,coast,0.0030529808999999997,0.002623366515728088
Bulacan,river,0.011614999999999999,0.009980541339181567
Cagayan,coast,0.024956643349999995,0.0209024066527187
Cagayan,river,0.11695499999999999,0.09795551973012892
Camarines Norte,coast,0.07010183915,0.057278422299673545
Camarines Norte,river,0.0,0.0
Camarines Sur,coast,0.06113321224999999,0.04758069045249163
Camarines Sur,river,0.103155,0.08028673683226542
Camiguin,coast,0.044850408249999994,0.032248813936649245
Camiguin,river,0.0,0.0
Capiz,coast,0.05838698235,0.04784418595446365
Capiz,river,0.139265,0.11411825528175083
Catanduanes,coast,0.03396154355,0.027270471737874658
Catanduanes,river,0.0,0.0
Cavite,coast,0.05908767389999999,0.051108353945239444
Cavite,river,0.0,0.0
Cebu,coast,0.042888862449999995,0.035652961541315004
Cebu,river,0.0,0.0
Compostela Valley,coast,0.010353493699999999,0.00822002451317148
Compostela Valley,river,0.0,0.0
Davao Del Norte,coast,0.0007065898999999999,0.0005681378741657289
Davao Del Norte,river,0.021159999999999998,0.017013825724577755
Davao Del Sur,coast,0.01130623075,0.009354959998345843
Davao Del Sur,river,0.0,0.0
Davao Oriental,coast,0.022774723049999997,0.017294966459376702
Davao Oriental,river,0.0,0.0
Dinagat Islands,coast,0.01989688945,0.017301643000000002
Dinagat Islands,river,0.0,0.0
Eastern Samar,coast,0.07116014505,0.04558875321867751
Eastern Samar,river,0.0,0.0
Guimaras,coast,0.10183898714999998,0.08408140274150946
Guimaras,river,0.0,0.0
Ifugao,coast,0.0,0.0
Ifugao,river,0.06566499999999999,0.05078295389849663
Ilocos Norte,coast,0.00212245265,0.0018152540319194875
Ilocos Norte,river,0.068885,0.05891475316953426
Ilocos Sur,coast,0.0049141581499999995,0.00413919104798216
Ilocos Sur,river,0.047495,0.04000499634386262
Iloilo,river,0.0,0.0
Isabela,coast,5.934e-05,4.910594964847227e-05
Isabela,river,0.098785,0.08174808284503428
Kalinga,coast,0.0,0.0
Kalinga,river,0.07566999999999999,0.06219232214790762
La Union,coast,0.0036107205499999995,0.003032875411722367
La Union,river,0.021044999999999998,0.01767704317070376
Laguna,coast,0.0,0.0
Laguna,river,0.0035649999999999996,0.003068239996936112
Lanao Del Norte,coast,0.07682800975,0.05715536851781223
Lanao Del Norte,river,0.01219,0.009068618912546166
Lanao Del Sur,coast,0.0021813142499999996,0.0010966909566889095
Lanao Del Sur,river,0.05818999999999999,0.029255961982427633
Leyte,coast,0.1360574775,0.10684846068294278
Leyte,river,0.0,0.0
Maguindanao,coast,0.08391870735000001,0.05727424480960764
Maguindanao,river,0.087055,0.05941475434202328
Marinduque,coast,0.0507989316,0.0409224399972456
Marinduque,river,0.0,0.0
Masbate,coast,0.0425295093,0.031133297253803184
Masbate,river,0.0,0.0
Misamis Occidental,coast,0.061471478999999996,0.047457569642408104
Misamis Occidental,river,0.0024149999999999996,0.0018644423812613257
Misamis Oriental,coast,0.08914671199999999,0.07395923445729831
Misamis Oriental,river,0.0,0.0
Mountain Province,coast,0.0,0.0
Mountain Province,river,0.0,0.0
Negros Occidental,coast,0.05413932164999999,0.04370346698185945
Negros Occidental,river,0.04277999999999999,0.0345337595762792
Negros Oriental,coast,0.022601344449999998,0.016698067532181865
Negros Oriental,river,0.0023,0.0016992597678859894
North Cotabato,coast,0.0,0.0
North Cotabato,river,0.116725,0.0847692314013229
Northern Samar,coast,0.08160001639999999,0.06023185230279782
Northern Samar,river,0.0,0.0
Nueva Ecija,coast,0.0,0.0
Nueva Ecija,river,0.17663999999999996,0.14583959039733063
Nueva Vizcaya,coast,0.0,0.0
Nueva Vizcaya,river,0.22010999999999997,0.1839192075880406
Occidental Mindoro,coast,0.04228809785,0.033377889159901954
Occidental Mindoro,river,0.0,0.0
Oriental Mindoro,coast,0.06469784885,0.05275727706769044
Oriental Mindoro,river,0.0,0.0
Palawan,coast,0.08165578564999999,0.06718835692760078
Palawan,river,0.0,0.0
Pampanga,coast,0.0005189076,0.0004456719782184954
Pampanga,river,0.12350999999999998,0.10607851191573675
Pangasinan,coast,0.008813456249999999,0.007369770337683246
Pangasinan,river,0.17111999999999997,0.14308973283714402
Quezon,coast,0.029992735999999996,0.02459359139563083
Quezon,river,0.014719999999999999,0.012070178103914421
Quirino,coast,0.0,0.0
Quirino,river,0.0,0.0
Rizal,coast,0.0,0.0
Rizal,river,0.02553,0.021983772313013697
Romblon,coast,0.0615011812,0.048025394598019765
Romblon,river,0.0,0.0
Samar,coast,0.0369297798,0.02729070367637145
Samar,river,0.09130999999999999,0.06747709209707979
Sarangani,coast,0.017689733549999996,0.01276471155945023
Sarangani,river,0.000575,0.0004149134935208722
Siquijor,coast,0.09796693829999999,0.07901514441741059
Siquijor,river,0.0,0.0
Sorsogon,coast,0.04003645535,0.031234181133299545
Sorsogon,river,0.0,0.0
South Cotabato,coast,3.3465e-05,2.7047627312073527e-05
South Cotabato,river,0.0115,0.009294717289372346
Southern Leyte,coast,0.023869368949999997,0.01838037278493287
Southern Leyte,river,0.0,0.0
Sultan Kudarat,coast,0.010658259799999998,0.007960168889479969
Sultan Kudarat,river,0.08578999999999999,0.06407264430057209
Sulu,river,0.0,0.0
Surigao Del Norte,coast,0.044155957749999995,0.034252634468199046
Surigao Del Norte,river,0.0,0.0
Surigao Del Sur,coast,0.03068376065,0.024429712980389793
Surigao Del Sur,river,0.0,0.0
Tarlac,coast,0.0,0.0
Tarlac,river,0.13696499999999998,0.1155551522370205
Tawi-Tawi,river,0.0,0.0
Zambales,coast,0.013158046999999999,0.011114917240730384
Zambales,river,0.0,0.0
Zamboanga Del Norte,coast,0.027815911349999996,0.019866318562157863
Zamboanga Del Norte,river,0.0,0.0
Zamboanga Del Sur,coast,0.0258594819,0.02089712443822646
Zamboanga Del Sur,river,0.049565,0.04005362430639783
Zamboanga Sibugay,coast,0.008905187149999999,0.00679945943560909
Zamboanga Sibugay,river,0.0,0.0
