AREA # 010101,Sucre,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          46,500",67.18,67.18
"Adobe, tapial","          21,156",30.56,97.74
"Tabique,quinche",269,0.39,98.13
Piedra,651,0.94,99.07
Madera,54,0.08,99.15
"Caña, palma, tronco",110,0.16,99.31
Otro,481,0.69,100
Total,"          69,221",100,100
NSA :,"           8,055",,
AREA # 010102,Yotala,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",979,37.28,37.28
"Adobe, tapial","           1,613",61.42,98.71
"Tabique,quinche",1,0.04,98.74
Piedra,19,0.72,99.47
Madera,3,0.11,99.58
"Caña, palma, tronco",1,0.04,99.62
Otro,10,0.38,100
Total,"           2,626",100,100
NSA :,847,,
AREA # 010103,Poroma,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",176,3.59,3.59
"Adobe, tapial","           4,418",90.2,93.79
"Tabique,quinche",53,1.08,94.88
Piedra,199,4.06,98.94
Madera,11,0.22,99.16
"Caña, palma, tronco",28,0.57,99.73
Otro,13,0.27,100
Total,"           4,898",100,100
NSA :,"           1,070",,
AREA # 010201,Azurduy,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",78,3.08,3.08
"Adobe, tapial","           2,207",87.23,90.32
"Tabique,quinche",51,2.02,92.33
Piedra,147,5.81,98.14
Madera,20,0.79,98.93
"Caña, palma, tronco",22,0.87,99.8
Otro,5,0.2,100
Total,"           2,530",100,100
NSA :,648,,
AREA # 010202,Tarvita,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",111,3.25,3.25
"Adobe, tapial","           2,842",83.25,86.5
"Tabique,quinche",28,0.82,87.32
Piedra,424,12.42,99.74
Madera,4,0.12,99.85
Otro,5,0.15,100
Total,"           3,414",100,100
NSA :,"           1,070",,
AREA # 010301,Zudáñez,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",159,5.9,5.9
"Adobe, tapial","           2,427",90.06,95.96
"Tabique,quinche",18,0.67,96.62
Piedra,84,3.12,99.74
Otro,7,0.26,100
Total,"           2,695",100,100
NSA :,498,,
AREA # 010302,Presto,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",108,4.07,4.07
"Adobe, tapial","           2,301",86.76,90.84
