description,Population, Average income of poor families, Average income of non poor families,Poverty incidence, Average income in the province,National GDP per capita,Social protection for poor people,Social protection for non-poor people,Asset vulnerability (poor people),Asset vulnerability (non-poor people),Access to early warning for poor people,Access to early warning for nonpoor people,"Exposure, poor people","Exposure, non-poor people", Hazard (protection),Productivity of capital,Time to reconstruct,Avoided losses with early warning,Effective scale up for non-poor people,Effective scale up for poor people,Elasticity of utility,Discount rate,Asset vulnerability (shared losses), Hazard (protection),Average asset losses per person in the event of a disaster,Average welfare losses in the event of a disaster,Average consumption losses for poor people in the event of a disaster,Average consumption losses for nonpoor people in the event of a disaster,Average asset losses across persons in the event of a disaster,Expected welfare losses per capita due to natural disasters ,Total expected welfare losses due to natural disasters,Expected welfare losses,Socio-economic capacity,Risk to assets
variable,pop,cp,cr,pov_head,gdp_pc_pp,gdp_pc_pp_nat,social_p,social_r,v_p,v_r,shewp,shewr,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets
province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ha Noi,6698811,601.835764693321,5268.98375025418,0.0599520392715931,4989.1787109375,3692.17485218631,0.132860738784075,0.132860738784075,0.0333333333333333,0.0333333333333333,0.90167865707434,0.90167865707434,0.48871644512123,0.442420717882864,8.52966,0.2697,3,0.2,0,0,1.5,0.05,0.027322142286171035,8.52966,223.7828762156939,9.520917410466012e-06,56.82776194867042,494.23550486927815,175748997.35808092,35.18320596465344,235685647.13128605,0.0070519033298052135,0.7456924063779833,0.005258550763547362
Ha Giang,774681,245.646227649306,5193.75705347368,0.638095259666443,2036.39099121094,3692.17485218631,0.108243891969323,0.108243891969323,0.0725124364864714,0.0333333333333333,0.742857142857143,0.742857142857143,0.178069589648928,0.13425391981589,6.61381,0.2697,3,0.2,0,0,1.5,0.05,0.02838095238095235,6.61381,32.94463294999959,2.2278801935282644e-05,50.64421378869022,495.32929135162897,3858831.9286974724,27.687183323880866,21448734.864527352,0.013596202027694437,0.17990953560059805,0.002446086392734416
Cao Bang,540048,247.407867971581,4246.66624803465,0.549019634723663,2050.99487304688,3692.17485218631,0.130565547384322,0.130565547384322,0.0476190468929962,0.0333333333333333,0.891089108910891,0.891089108910891,0.220177086743773,0.176701199253295,7.62919,0.2697,3,0.2,0,0,1.5,0.05,0.027392739273927366,7.62919,38.711005269992185,1.624968340907529e-05,31.933323202209863,384.9581948299108,2740238.606463955,17.695337800436874,9556331.788450332,0.008627685048353803,0.28674586307015565,0.002473952995487689
Bac Kan,311681,267.005595655593,6671.46408314999,0.696078419685364,2213.45874023438,3692.17485218631,0.0653125615790486,0.0653125615790486,0.0361502348651598,0.0333333333333333,0.9,0.9,0.194979590141043,0.137849937496767,6.50645,0.2697,3,0.2,0,0,1.5,0.05,0.027333333333333303,6.50645,32.310034653334725,1.3040665735264412e-05,27.774917282481937,638.0614570371152,1547760.1319899515,18.66833085281728,5818564.028536943,0.008434008962299662,0.26600379825658294,0.0022434784185017716
Tuyen Quang,772231,307.017677002576,4314.00773944852,0.44144144654274,2545.15625,3692.17485218631,0.0747878458350897,0.0747878458350897,0.111589360468018,0.0333333333333333,0.881818181818182,0.881818181818182,0.257135156657623,0.216140550185645,7.2691,0.2697,3,0.2,0,0,1.5,0.05,0.027454545454545426,7.2691,64.8936331661362,3.122772443009403e-05,97.40251550906717,413.406918933943,6893958.70651367,49.33700559912216,38099565.170815706,0.019384666697426594,0.18094586317731648,0.0035075752479704356
Lao Cai,655299,300.159185009219,4855.06413733978,0.519607841968536,2488.2998046875,3692.17485218631,0.086600043810904,0.086600043810904,0.0635220125902869,0.0333333333333333,0.754901960784314,0.754901960784314,0.174124049367953,0.141846777652467,7.6883,0.2697,3,0.2,0,0,1.5,0.05,0.028300653594771207,7.6883,40.14628706249658,1.5040179676573118e-05,55.29931545665348,471.5993499084666,3421799.5871346006,21.71829082777595,14231974.261150751,0.008728164824376338,0.24043042267685533,0.0020985163579180636
Dien Bien,522590,299.22346221974,5465.50623370859,0.577777802944183,2480.54272460938,3692.17485218631,0.14007131755352,0.14007131755352,0.0410256409771461,0.0333333333333333,0.746987951807229,0.746987951807229,0.234710851323848,0.185208471681409,6.63163,0.2697,3,0.2,0,0,1.5,0.05,0.028353413654618444,6.63163,50.18247896804408,1.49267170452827e-05,34.32766915437124,509.00883910275854,3954512.1914084707,24.872087319018362,12997904.112045806,0.010026873180720989,0.3042422960901541,0.00305059891910734
Lai Chau,395457,200.90596758438,5777.61812007435,0.73737370967865,1665.49719238281,3692.17485218631,0.0966347008943558,0.0966347008943558,0.04155251172423,0.0333333333333333,0.722222222222222,0.722222222222222,0.224680232588126,0.148496782804841,6.61341,0.2697,3,0.2,0,0,1.5,0.05,0.02851851851851849,6.61341,28.21336959722269,2.127457161194002e-05,24.38453419775969,560.6641562679632,1687053.1996063897,19.556769099164722,7733861.237648384,0.011742300850825843,0.21813854008574995,0.002561448364846809
