province,gdp_pc_pp,pop,pov_head,shew,gdp_pc_pp_nat,rel_gdp_pp,share1,axfin_p,axfin_r,social_p,social_r,fap,far,v_p,v_r,protection,avg_prod_k,T_rebuild_K,pi,nat_buyout,sigma_r,sigma_p,income_elast,rho,protectionref,gdp_pc_pp_ref,v_s,dK,delta_W,dcap,dcar,dKtot,deltaW_nat,equivalent_cost,risk,total_equivalent_cost,resilience,risk_to_assets
Abra,31.0,32.0,13.0,9.0,1.0,31.0,5.0,1.0,1.0,8.0,8.0,3.0,3.0,33.0,10.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,31.0,10.0,10.0,7.0,33.0,35.0,26.0,26.0,6.0,6.0,23.0,23.0,4.0
Agusan Del Norte,14.0,28.0,14.0,29.0,1.0,14.0,22.0,28.0,28.0,13.0,13.0,1.0,1.0,8.0,10.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,14.0,10.0,1.0,1.0,4.0,7.0,3.0,3.0,1.0,1.0,2.0,19.0,1.0
Agusan Del Sur,33.0,26.0,10.0,29.0,1.0,33.0,3.0,31.0,31.0,13.0,13.0,8.0,9.0,17.0,10.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,33.0,10.0,12.0,5.0,16.0,22.0,17.0,17.0,3.0,3.0,10.0,30.0,3.0
Apayao,22.0,35.0,2.0,9.0,1.0,22.0,14.0,35.0,35.0,8.0,8.0,32.0,33.0,35.0,10.0,33.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,22.0,10.0,35.0,35.0,35.0,28.0,35.0,35.0,35.0,33.0,35.0,26.0,35.0
Batangas,5.0,6.0,27.0,1.0,1.0,5.0,31.0,11.0,11.0,19.0,19.0,34.0,34.0,27.0,10.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,5.0,10.0,34.0,34.0,24.0,11.0,30.0,30.0,34.0,35.0,28.0,5.0,34.0
Bukidnon,27.0,14.0,8.0,25.0,1.0,27.0,9.0,29.0,29.0,31.0,31.0,24.0,25.0,28.0,10.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,27.0,10.0,29.0,25.0,23.0,10.0,27.0,27.0,24.0,23.0,20.0,28.0,24.0
Bulacan,2.0,1.0,33.0,5.0,1.0,2.0,34.0,10.0,10.0,15.0,15.0,30.0,29.0,1.0,8.0,33.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,2.0,8.0,31.0,33.0,3.0,8.0,21.0,21.0,29.0,31.0,21.0,3.0,27.0
Cagayan,12.0,18.0,26.0,13.0,1.0,12.0,24.0,9.0,9.0,28.0,28.0,10.0,10.0,16.0,10.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,12.0,10.0,9.0,13.0,13.0,12.0,11.0,11.0,11.0,12.0,9.0,14.0,8.0
Camarines Sur,24.0,10.0,12.0,31.0,1.0,24.0,12.0,7.0,7.0,12.0,12.0,12.0,13.0,11.0,10.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,24.0,10.0,5.0,4.0,8.0,13.0,4.0,4.0,8.0,8.0,4.0,27.0,12.0
Capiz,15.0,25.0,19.0,27.0,1.0,15.0,21.0,16.0,16.0,5.0,5.0,6.0,7.0,7.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,15.0,1.0,2.0,3.0,7.0,6.0,8.0,8.0,7.0,9.0,16.0,16.0,5.0
Davao Del Norte,23.0,19.0,15.0,24.0,1.0,23.0,13.0,26.0,26.0,33.0,33.0,26.0,27.0,13.0,10.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,23.0,10.0,30.0,27.0,11.0,14.0,28.0,28.0,23.0,24.0,25.0,24.0,23.0
Ifugao,25.0,34.0,11.0,9.0,1.0,25.0,11.0,27.0,27.0,8.0,8.0,19.0,19.0,34.0,10.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,25.0,10.0,22.0,22.0,34.0,33.0,33.0,33.0,22.0,22.0,30.0,21.0,21.0
Ilocos Norte,8.0,29.0,31.0,16.0,1.0,8.0,28.0,6.0,6.0,1.0,1.0,18.0,18.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,5.0,18.0,21.0,9.0,20.0,23.0,23.0,30.0,29.0,32.0,6.0,30.0
Ilocos Sur,16.0,27.0,29.0,16.0,1.0,16.0,20.0,3.0,3.0,1.0,1.0,22.0,21.0,12.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,16.0,10.0,23.0,24.0,18.0,24.0,25.0,25.0,27.0,28.0,31.0,11.0,29.0
Isabela,18.0,12.0,23.0,13.0,1.0,18.0,18.0,12.0,12.0,28.0,28.0,13.0,12.0,25.0,10.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,18.0,10.0,17.0,19.0,19.0,15.0,12.0,12.0,17.0,16.0,12.0,18.0,16.0
Kalinga,17.0,33.0,21.0,9.0,1.0,17.0,19.0,8.0,8.0,8.0,8.0,17.0,16.0,32.0,10.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,17.0,10.0,21.0,23.0,32.0,34.0,32.0,32.0,21.0,20.0,29.0,12.0,18.0
La Union,7.0,23.0,28.0,16.0,1.0,7.0,29.0,21.0,21.0,1.0,1.0,27.0,26.0,15.0,10.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,10.0,27.0,29.0,20.0,19.0,31.0,31.0,33.0,32.0,33.0,7.0,32.0
